snomed,id,on_id_register,id_severity,id_severity_lab
508171000000105,1,null,4,severe
889211000000104,1,null,1,ID of unspecified severity
931001000000105,1,null,1,ID of unspecified severity
984661000000105,1,null,2,mild
1093991000000100,1,null,2,mild
1093991000000101,1,null,2,mild
1094001000000100,1,null,1,ID of unspecified severity
1094001000000106,1,null,1,ID of unspecified severity
1094011000000100,1,null,1,ID of unspecified severity
1094011000000108,1,null,1,ID of unspecified severity
1094021000000100,1,null,1,ID of unspecified severity
1094021000000102,1,null,1,ID of unspecified severity
1094031000000100,1,null,1,ID of unspecified severity
1239331000000100,1,null,1,ID of unspecified severity
722213009,1,null,4,severe
722281001,1,null,4,severe
722282008,1,null,1,ID of unspecified severity
722379001,1,null,1,ID of unspecified severity
723621000,1,null,1,ID of unspecified severity
723676007,1,null,4,severe
723994004,1,null,1,ID of unspecified severity
724001005,1,null,1,ID of unspecified severity
773772001,1,null,1,ID of unspecified severity
774068004,1,null,1,ID of unspecified severity
778011005,1,null,4,severe
782676009,1,null,1,ID of unspecified severity
57917004,1,null,1,ID of unspecified severity
59252009,1,null,1,ID of unspecified severity
61152003,1,null,3,moderate
717945001,1,null,4,severe
718226002,1,null,1,ID of unspecified severity
718573009,1,null,1,ID of unspecified severity
782941005,1,null,1,ID of unspecified severity
782945001,1,null,1,ID of unspecified severity
783005002,1,null,4,severe
763626009,1,null,1,ID of unspecified severity
763665007,1,null,1,ID of unspecified severity
763722004,1,null,4,severe
773400009,1,null,1,ID of unspecified severity
773405004,1,null,1,ID of unspecified severity
773419004,1,null,4,severe
782723007,1,null,4,severe
782736007,1,null,1,ID of unspecified severity
782753000,1,null,1,ID of unspecified severity
21111006,1,null,1,ID of unspecified severity
21634003,1,null,1,ID of unspecified severity
31216003,1,null,5,profound
782755007,1,null,2,mild
782772000,1,null,1,ID of unspecified severity
782886007,1,null,1,ID of unspecified severity
33982008,1,null,1,ID of unspecified severity
40354009,1,null,1,ID of unspecified severity
40700009,1,null,4,severe
76880004,1,null,1,ID of unspecified severity
79385002,1,null,1,ID of unspecified severity
86765009,1,null,2,mild
416075005,1,1,1,ID of unspecified severity
422437002,1,null,1,ID of unspecified severity
432091002,1,null,1,ID of unspecified severity
442511009,1,null,1,ID of unspecified severity
838441009,1,null,1,ID of unspecified severity
840505007,1,null,1,ID of unspecified severity
879919001,1,null,1,ID of unspecified severity
879937000,1,null,1,ID of unspecified severity
984671000000103,1,null,3,moderate
984681000000101,1,null,5,profound
1089701000000100,1,null,5,profound
763350002,1,null,1,ID of unspecified severity
763404001,1,null,1,ID of unspecified severity
763615003,1,null,1,ID of unspecified severity
763618001,1,null,1,ID of unspecified severity
764959000,1,null,1,ID of unspecified severity
765089003,1,null,1,ID of unspecified severity
765170001,1,null,1,ID of unspecified severity
765434008,1,null,1,ID of unspecified severity
719834005,1,null,1,ID of unspecified severity
719842006,1,null,1,ID of unspecified severity
719909009,1,null,1,ID of unspecified severity
719947004,1,null,1,ID of unspecified severity
732954002,1,null,1,ID of unspecified severity
732961003,1,null,1,ID of unspecified severity
733031004,1,null,1,ID of unspecified severity
733032006,1,null,1,ID of unspecified severity
770907002,1,null,1,ID of unspecified severity
770908007,1,null,1,ID of unspecified severity
770948004,1,null,1,ID of unspecified severity
771072001,1,null,1,ID of unspecified severity
205615000,1,null,1,ID of unspecified severity
205616004,1,null,1,ID of unspecified severity
205824006,1,null,1,ID of unspecified severity
232059000,1,null,1,ID of unspecified severity
234146006,1,null,1,ID of unspecified severity
253176002,1,null,1,ID of unspecified severity
254264002,1,null,1,ID of unspecified severity
254268004,1,null,1,ID of unspecified severity
371045000,1,null,1,ID of unspecified severity
401315004,1,null,1,ID of unspecified severity
403554008,1,null,1,ID of unspecified severity
412787009,1,null,1,ID of unspecified severity
699297004,1,null,1,ID of unspecified severity
699298009,1,null,1,ID of unspecified severity
699669001,1,null,1,ID of unspecified severity
702327009,1,null,1,ID of unspecified severity
702344008,1,null,1,ID of unspecified severity
702357000,1,null,1,ID of unspecified severity
702412005,1,null,1,ID of unspecified severity
702416008,1,null,1,ID of unspecified severity
702816000,1,null,1,ID of unspecified severity
703526007,1,null,1,ID of unspecified severity
703535000,1,null,1,ID of unspecified severity
715409005,1,null,1,ID of unspecified severity
715428003,1,null,1,ID of unspecified severity
715628009,1,null,1,ID of unspecified severity
715989002,1,null,1,ID of unspecified severity
716024001,1,null,1,ID of unspecified severity
716089008,1,null,1,ID of unspecified severity
716096005,1,null,1,ID of unspecified severity
716112005,1,null,1,ID of unspecified severity
716191002,1,null,1,ID of unspecified severity
716334004,1,null,1,ID of unspecified severity
716709002,1,null,1,ID of unspecified severity
716996008,1,null,1,ID of unspecified severity
717157006,1,null,1,ID of unspecified severity
717223008,1,null,1,ID of unspecified severity
717763008,1,null,1,ID of unspecified severity
717822006,1,null,1,ID of unspecified severity
717887003,1,null,1,ID of unspecified severity
718577005,1,null,1,ID of unspecified severity
718680001,1,null,1,ID of unspecified severity
718681002,1,null,1,ID of unspecified severity
718766002,1,null,1,ID of unspecified severity
718846001,1,null,1,ID of unspecified severity
718848000,1,null,1,ID of unspecified severity
718909001,1,null,1,ID of unspecified severity
718910006,1,null,1,ID of unspecified severity
718911005,1,null,1,ID of unspecified severity
718912003,1,null,1,ID of unspecified severity
718914002,1,null,1,ID of unspecified severity
719009006,1,null,1,ID of unspecified severity
719010001,1,null,1,ID of unspecified severity
719011002,1,null,1,ID of unspecified severity
719012009,1,null,1,ID of unspecified severity
719013004,1,null,1,ID of unspecified severity
719016007,1,null,1,ID of unspecified severity
719017003,1,null,1,ID of unspecified severity
719018008,1,null,1,ID of unspecified severity
719020006,1,null,1,ID of unspecified severity
719069008,1,null,1,ID of unspecified severity
719097002,1,null,1,ID of unspecified severity
719136005,1,null,1,ID of unspecified severity
719137001,1,null,1,ID of unspecified severity
719157002,1,null,1,ID of unspecified severity
719160009,1,null,1,ID of unspecified severity
719162001,1,null,1,ID of unspecified severity
719202006,1,null,1,ID of unspecified severity
719212004,1,null,1,ID of unspecified severity
719378009,1,null,1,ID of unspecified severity
719380003,1,null,1,ID of unspecified severity
719396000,1,null,1,ID of unspecified severity
719450007,1,null,1,ID of unspecified severity
719599008,1,null,1,ID of unspecified severity
719800009,1,null,1,ID of unspecified severity
719808002,1,null,1,ID of unspecified severity
719810000,1,null,1,ID of unspecified severity
719811001,1,null,1,ID of unspecified severity
719812008,1,null,1,ID of unspecified severity
720401009,1,null,1,ID of unspecified severity
720468000,1,null,1,ID of unspecified severity
720501007,1,null,1,ID of unspecified severity
720517001,1,null,1,ID of unspecified severity
720523006,1,null,1,ID of unspecified severity
720635002,1,null,1,ID of unspecified severity
720639008,1,null,1,ID of unspecified severity
720746006,1,null,1,ID of unspecified severity
720748007,1,null,1,ID of unspecified severity
720954000,1,null,1,ID of unspecified severity
720955004,1,null,1,ID of unspecified severity
720957007,1,null,1,ID of unspecified severity
720958002,1,null,1,ID of unspecified severity
720979002,1,null,1,ID of unspecified severity
720981000,1,null,1,ID of unspecified severity
720982007,1,null,1,ID of unspecified severity
721007005,1,null,1,ID of unspecified severity
721008000,1,null,1,ID of unspecified severity
721017000,1,null,1,ID of unspecified severity
721073008,1,null,1,ID of unspecified severity
721087008,1,null,1,ID of unspecified severity
721089006,1,null,1,ID of unspecified severity
721146009,1,null,1,ID of unspecified severity
721207002,1,null,1,ID of unspecified severity
721208007,1,null,1,ID of unspecified severity
721224008,1,null,1,ID of unspecified severity
721875000,1,null,1,ID of unspecified severity
721973006,1,null,1,ID of unspecified severity
721974000,1,null,1,ID of unspecified severity
722002002,1,null,1,ID of unspecified severity
722003007,1,null,1,ID of unspecified severity
722031003,1,null,1,ID of unspecified severity
722033000,1,null,1,ID of unspecified severity
722035007,1,null,1,ID of unspecified severity
722037004,1,null,1,ID of unspecified severity
722055008,1,null,1,ID of unspecified severity
722065002,1,null,1,ID of unspecified severity
722110003,1,null,1,ID of unspecified severity
722111004,1,null,1,ID of unspecified severity
